CHR	POS	SNP	N	EFFECT_ALLELE	NON_EFFECT_ALLELE	FREQ_EFFECT	BETA	SE	PVALUE	AF_CASE	AF_CTRL	N_CASE	N_CTRL
1	1000000	rs1001	2200	2	4	0.1700000	0.13000	0.04600	0.0047	0.2000	0.1400	1000	1200
1	2000000	rs1002	1800	2	4	0.2700000	0.07000	0.03900	0.0728	0.3100	0.2300	800	1000
1	3000000	rs1003	2000	2	4	0.3700000	-0.16000	0.04300	0.0002	0.4300	0.3100	900	1100
1	4000000	rs1004	1600	2	4	0.4700000	0.19000	0.05300	0.0003	0.5500	0.3900	600	1000
1	5000000	rs1005	2400	2	4	0.5700000	-0.11000	0.03600	0.0023	0.6500	0.4900	1100	1300
2	1000000	rs2001	1900	2	4	0.2200000	0.16000	0.04900	0.0011	0.2700	0.1700	750	1150
2	2000000	rs2002	2100	2	4	0.3200000	-0.13000	0.04100	0.0016	0.3800	0.2600	850	1250
2	3000000	rs2003	1700	2	4	0.4200000	0.17000	0.05500	0.0019	0.5100	0.3300	650	1050
2	4000000	rs2004	2300	2	4	0.5200000	-0.09000	0.03700	0.0147	0.6100	0.4300	950	1350
2	5000000	rs2005	2000	2	4	0.6200000	0.12000	0.04500	0.0078	0.7100	0.5300	800	1200
